id,place_id,category_id
382,453,1
383,454,1
384,455,1
385,456,1
386,457,1
387,458,1
388,459,1
389,460,1
5532,460,2
390,461,1
391,462,1
392,463,1
393,464,1
394,465,1
395,466,1
5561,466,2
396,467,1
397,468,1
398,469,1
399,470,1
400,471,1
401,472,1
402,473,1
403,474,1
404,475,1
405,476,1
406,477,1
407,478,1
408,479,1
409,480,1
410,481,1
411,482,1
412,483,1
413,484,1
414,485,1
415,490,1
5621,490,2
416,491,1
5622,491,2
417,493,1
418,498,1
5624,498,2
419,500,1
5625,500,2
420,501,1
5627,501,2
421,502,1
422,503,1
423,507,1
424,508,1
425,515,1
426,517,1
427,519,1
428,522,1
429,523,1
430,524,1
431,527,1
432,529,1
433,531,1
434,532,1
435,535,1
436,537,1
437,538,1
438,539,1
439,540,1
440,541,1
441,542,1
442,543,1
443,544,1
444,545,1
445,546,1
5684,546,2
446,547,1
447,548,1
448,554,1
5687,554,2
449,557,1
5688,557,2
450,559,1
451,560,1
452,561,1
5706,561,2
453,562,1
454,563,1
455,564,1
456,567,1
457,569,1
458,570,1
459,572,1
460,576,1
461,578,1
462,580,1
463,581,1
464,583,1
465,585,1
466,586,1
467,587,1
468,589,1
469,590,1
470,592,1
471,594,1
472,595,1
473,596,1
474,598,1
475,601,1
476,603,1
477,604,1
478,606,1
5744,606,2
479,607,1
480,608,1
5745,608,2
481,609,1
482,610,1
483,611,1
484,612,1
485,613,1
486,614,1
487,615,1
488,616,1
489,617,1
490,618,1
491,619,1
492,620,1
493,621,1
494,622,1
495,623,1
496,624,1
497,625,1
498,626,1
499,627,1
500,628,1
501,629,1
502,630,1
503,631,1
504,633,1
505,635,1
506,636,1
5934,636,2
507,637,1
508,638,1
509,639,1
510,640,1
511,641,1
512,642,1
513,643,1
514,644,1
515,645,1
516,646,1
517,647,1
518,648,1
519,649,1
520,650,1
521,651,1
522,652,1
523,653,1
524,654,1
525,655,1
526,656,1
527,657,1
528,658,1
529,659,1
530,660,1
531,661,1
532,662,1
533,663,1
534,664,1
535,665,1
536,666,1
537,667,1
538,668,1
539,669,1
540,670,1
541,671,1
542,672,1
543,673,1
544,674,1
545,675,1
546,676,1
547,677,1
548,678,1
549,679,1
550,680,1
551,681,1
552,682,1
553,683,1
554,684,1
555,685,1
556,686,1
557,687,1
558,688,1
559,689,1
560,690,1
561,691,1
562,692,1
563,693,1
564,694,1
565,695,1
566,696,1
567,697,1
568,698,1
569,699,1
570,700,1
571,701,1
572,702,1
573,703,1
574,704,1
575,705,1
576,706,1
577,707,1
578,708,1
579,709,1
580,710,1
581,711,1
582,712,1
583,713,1
584,714,1
585,715,1
586,716,1
587,717,1
588,718,1
589,719,1
590,720,1
591,721,1
